episode,epsilon,reward,mean_reward
0,0.0,0.2,
0,0.17354390655479243,,0.2
10,0.07641947872116295,,0.3
20,0.4124314514237259,,0.1
30,0.4124314514237259,,0.1
40,0.07641947872116295,,0.3
50,0.020877073204287257,,0.5
60,1.0,,0.0
70,0.4124314514237259,,0.1
80,0.4124314514237259,,0.1
90,0.17354390655479243,,0.2
100,0.17354390655479243,,0.2
110,0.03693163314434385,,0.4
120,0.07641947872116295,,0.3
130,0.17354390655479243,,0.2
140,0.07641947872116295,,0.3
150,0.4124314514237259,,0.1
160,0.07641947872116295,,0.3
170,0.03693163314434385,,0.4
180,0.17354390655479243,,0.2
190,0.17354390655479243,,0.2
200,0.01169597532319524,,0.7
210,0.01169597532319524,,0.7
220,0.01169597532319524,,0.7
230,0.17354390655479243,,0.2
240,0.020877073204287257,,0.5
250,0.07641947872116295,,0.3
260,0.020877073204287257,,0.5
270,0.03693163314434385,,0.4
280,0.014349776232173404,,0.6
290,0.014349776232173404,,0.6
300,0.01169597532319524,,0.7
310,0.010617020390612695,,0.8
320,0.03693163314434385,,0.4
330,0.07641947872116295,,0.3
340,0.07641947872116295,,0.3
350,0.03693163314434385,,0.4
360,0.014349776232173404,,0.6
370,0.07641947872116295,,0.3
380,0.17354390655479243,,0.2
390,0.01169597532319524,,0.7
400,0.03693163314434385,,0.4
410,0.014349776232173404,,0.6
420,0.020877073204287257,,0.5
430,0.010617020390612695,,0.8
440,0.014349776232173404,,0.6
450,0.020877073204287257,,0.5
460,0.014349776232173404,,0.6
470,0.014349776232173404,,0.6
480,0.014349776232173404,,0.6
490,0.020877073204287257,,0.5
500,0.01169597532319524,,0.7
510,0.014349776232173404,,0.6
520,0.010617020390612695,,0.8
530,0.020877073204287257,,0.5
540,0.014349776232173404,,0.6
550,0.01169597532319524,,0.7
560,0.01,,1.0
570,0.014349776232173404,,0.6
580,0.01169597532319524,,0.7
590,0.010617020390612695,,0.8
600,0.010617020390612695,,0.8
610,0.01169597532319524,,0.7
620,0.010617020390612695,,0.8
630,0.010617020390612695,,0.8
640,0.010617020390612695,,0.8
650,0.020877073204287257,,0.5
660,0.01169597532319524,,0.7
670,0.010617020390612695,,0.8
680,0.014349776232173404,,0.6
690,0.014349776232173404,,0.6
700,0.010178350050797166,,0.9
710,0.010178350050797166,,0.9
720,0.014349776232173404,,0.6
730,0.010617020390612695,,0.8
740,0.014349776232173404,,0.6
750,0.010178350050797166,,0.9
760,0.014349776232173404,,0.6
770,0.010178350050797166,,0.9
780,0.010178350050797166,,0.9
790,0.01,,1.0
800,0.010178350050797166,,0.9
810,0.010617020390612695,,0.8
820,0.010178350050797166,,0.9
830,0.010617020390612695,,0.8
840,0.010617020390612695,,0.8
850,0.010617020390612695,,0.8
860,0.014349776232173404,,0.6
870,0.010178350050797166,,0.9
880,0.010617020390612695,,0.8
890,0.010617020390612695,,0.8
900,0.010178350050797166,,0.9
910,0.010178350050797166,,0.9
920,0.010617020390612695,,0.8
930,0.010178350050797166,,0.9
940,0.010178350050797166,,0.9
950,0.01,,1.0
960,0.010178350050797166,,0.9
970,0.01,,1.0
980,0.010178350050797166,,0.9
990,0.010178350050797166,,0.9
