episode,epsilon,mean_reward
0,0.0,
0,0.8509604618476714,0.1
10,0.8509604618476714,0.1
20,0.5940806576507963,0.3
30,0.8509604618476714,0.1
40,0.8509604618476714,0.1
50,0.5940806576507963,0.3
60,0.8509604618476714,0.1
70,0.7161039109606466,0.2
80,0.7161039109606466,0.2
90,0.8509604618476714,0.1
100,0.48366945218556323,0.4
110,0.383765262110164,0.5
120,0.5940806576507963,0.3
130,0.5940806576507963,0.3
140,0.48366945218556323,0.4
150,0.48366945218556323,0.4
160,0.2933682127113661,0.6
170,0.5940806576507963,0.3
180,0.48366945218556323,0.4
190,0.5940806576507963,0.3
200,0.2933682127113661,0.6
210,0.5940806576507963,0.3
220,0.7161039109606466,0.2
230,1.0,0.0
240,0.48366945218556323,0.4
250,0.2933682127113661,0.6
260,0.21157357993528855,0.7
270,0.7161039109606466,0.2
280,0.21157357993528855,0.7
290,0.48366945218556323,0.4
300,0.383765262110164,0.5
310,0.5940806576507963,0.3
320,0.383765262110164,0.5
330,0.383765262110164,0.5
340,0.2933682127113661,0.6
350,0.383765262110164,0.5
360,0.2933682127113661,0.6
370,0.7161039109606466,0.2
380,0.07059495431448819,0.9
390,0.383765262110164,0.5
400,0.383765262110164,0.5
410,0.383765262110164,0.5
420,0.07059495431448819,0.9
430,0.383765262110164,0.5
440,0.07059495431448819,0.9
450,0.13756273560498306,0.8
460,0.2933682127113661,0.6
470,0.21157357993528855,0.7
480,0.383765262110164,0.5
490,0.2933682127113661,0.6
500,0.383765262110164,0.5
510,0.13756273560498306,0.8
520,0.07059495431448819,0.9
530,0.21157357993528855,0.7
540,0.21157357993528855,0.7
550,0.21157357993528855,0.7
560,0.01,1.0
570,0.383765262110164,0.5
580,0.07059495431448819,0.9
590,0.13756273560498306,0.8
600,0.01,1.0
610,0.2933682127113661,0.6
620,0.21157357993528855,0.7
630,0.07059495431448819,0.9
640,0.21157357993528855,0.7
650,0.21157357993528855,0.7
660,0.13756273560498306,0.8
670,0.07059495431448819,0.9
680,0.07059495431448819,0.9
690,0.21157357993528855,0.7
700,0.21157357993528855,0.7
710,0.01,1.0
720,0.01,1.0
730,0.13756273560498306,0.8
740,0.13756273560498306,0.8
750,0.07059495431448819,0.9
760,0.01,1.0
770,0.383765262110164,0.5
780,0.07059495431448819,0.9
790,0.07059495431448819,0.9
800,0.13756273560498306,0.8
810,0.07059495431448819,0.9
820,0.13756273560498306,0.8
830,0.07059495431448819,0.9
840,0.07059495431448819,0.9
850,0.13756273560498306,0.8
860,0.07059495431448819,0.9
870,0.07059495431448819,0.9
880,0.21157357993528855,0.7
890,0.13756273560498306,0.8
900,0.13756273560498306,0.8
910,0.13756273560498306,0.8
920,0.07059495431448819,0.9
930,0.21157357993528855,0.7
940,0.13756273560498306,0.8
950,0.07059495431448819,0.9
960,0.01,1.0
970,0.13756273560498306,0.8
980,0.01,1.0
990,0.07059495431448819,0.9
