episode,epsilon,mean_reward
0,0.0,
0,0.49262757748063213,0.5
10,0.8964859466292551,0.1
20,0.7940018752988449,0.2
30,0.6925375375162358,0.3
40,1.0,0.0
50,1.0,0.0
60,0.7940018752988449,0.2
70,0.6925375375162358,0.3
80,0.6925375375162358,0.3
90,0.7940018752988449,0.2
100,0.7940018752988449,0.2
110,0.5920827867630939,0.4
120,0.5920827867630939,0.4
130,0.49262757748063213,0.5
140,0.7940018752988449,0.2
150,0.6925375375162358,0.3
160,0.7940018752988449,0.2
170,0.6925375375162358,0.3
180,0.5920827867630939,0.4
190,0.7940018752988449,0.2
200,0.5920827867630939,0.4
210,0.49262757748063213,0.5
220,0.6925375375162358,0.3
230,0.49262757748063213,0.5
240,0.6925375375162358,0.3
250,0.6925375375162358,0.3
260,0.6925375375162358,0.3
270,0.6925375375162358,0.3
280,0.3941619640650418,0.6
290,0.20016023623662868,0.8
300,0.7940018752988449,0.2
310,0.7940018752988449,0.2
320,0.7940018752988449,0.2
330,0.6925375375162358,0.3
340,0.49262757748063213,0.5
350,0.6925375375162358,0.3
360,0.49262757748063213,0.5
370,0.7940018752988449,0.2
380,0.6925375375162358,0.3
390,0.49262757748063213,0.5
400,0.5920827867630939,0.4
410,0.5920827867630939,0.4
420,0.5920827867630939,0.4
430,0.20016023623662868,0.8
440,0.49262757748063213,0.5
450,0.49262757748063213,0.5
460,0.2966760998729269,0.7
470,0.3941619640650418,0.6
480,0.20016023623662868,0.8
490,0.2966760998729269,0.7
500,0.2966760998729269,0.7
510,0.20016023623662868,0.8
520,0.49262757748063213,0.5
530,0.2966760998729269,0.7
540,0.2966760998729269,0.7
550,0.2966760998729269,0.7
560,0.3941619640650418,0.6
570,0.49262757748063213,0.5
580,0.2966760998729269,0.7
590,0.2966760998729269,0.7
600,0.2966760998729269,0.7
610,0.20016023623662868,0.8
620,0.49262757748063213,0.5
630,0.2966760998729269,0.7
640,0.49262757748063213,0.5
650,0.20016023623662868,0.8
660,0.20016023623662868,0.8
670,0.2966760998729269,0.7
680,0.3941619640650418,0.6
690,0.20016023623662868,0.8
700,0.10460472148935515,0.9
710,0.10460472148935515,0.9
720,0.10460472148935515,0.9
730,0.10460472148935515,0.9
740,0.10460472148935515,0.9
750,0.10460472148935515,0.9
760,0.10460472148935515,0.9
770,0.10460472148935515,0.9
780,0.3941619640650418,0.6
790,0.10460472148935515,0.9
800,0.2966760998729269,0.7
810,0.3941619640650418,0.6
820,0.10460472148935515,0.9
830,0.10460472148935515,0.9
840,0.01,1.0
850,0.10460472148935515,0.9
860,0.01,1.0
870,0.10460472148935515,0.9
880,0.20016023623662868,0.8
890,0.20016023623662868,0.8
900,0.2966760998729269,0.7
910,0.3941619640650418,0.6
920,0.10460472148935515,0.9
930,0.3941619640650418,0.6
940,0.10460472148935515,0.9
950,0.10460472148935515,0.9
960,0.2966760998729269,0.7
970,0.01,1.0
980,0.10460472148935515,0.9
990,0.01,1.0
