episode,epsilon,reward,mean_reward
0,0.0,0.4,
0,0.4097383135906444,,0.1
10,0.4097383135906444,,0.1
20,0.4097383135906444,,0.1
30,0.0904674104977299,,0.3
40,0.18944953788996655,,0.2
50,0.18944953788996655,,0.2
60,0.9,,0.0
70,0.04599187373045737,,0.4
80,0.18944953788996655,,0.2
90,0.0904674104977299,,0.3
100,0.04599187373045737,,0.4
110,0.017028270857005926,,0.6
120,0.02600772686626148,,0.5
130,0.017028270857005926,,0.6
140,0.4097383135906444,,0.1
150,0.18944953788996655,,0.2
160,0.0904674104977299,,0.3
170,0.04599187373045737,,0.4
180,0.04599187373045737,,0.4
190,0.02600772686626148,,0.5
200,0.01299354119003091,,0.7
210,0.04599187373045737,,0.4
220,0.017028270857005926,,0.6
230,0.04599187373045737,,0.4
240,0.01299354119003091,,0.7
250,0.02600772686626148,,0.5
260,0.0904674104977299,,0.3
270,0.04599187373045737,,0.4
280,0.04599187373045737,,0.4
290,0.02600772686626148,,0.5
300,0.01299354119003091,,0.7
310,0.01036602241746411,,0.9
320,0.02600772686626148,,0.5
330,0.18944953788996655,,0.2
340,0.017028270857005926,,0.6
350,0.017028270857005926,,0.6
360,0.01,,1.0
370,0.017028270857005926,,0.6
380,0.017028270857005926,,0.6
390,0.01118062028827606,,0.8
400,0.0904674104977299,,0.3
410,0.04599187373045737,,0.4
420,0.017028270857005926,,0.6
430,0.02600772686626148,,0.5
440,0.017028270857005926,,0.6
450,0.01299354119003091,,0.7
460,0.04599187373045737,,0.4
470,0.017028270857005926,,0.6
480,0.01299354119003091,,0.7
490,0.017028270857005926,,0.6
500,0.02600772686626148,,0.5
510,0.01299354119003091,,0.7
520,0.01299354119003091,,0.7
530,0.02600772686626148,,0.5
540,0.01299354119003091,,0.7
550,0.017028270857005926,,0.6
560,0.01299354119003091,,0.7
570,0.01299354119003091,,0.7
580,0.04599187373045737,,0.4
590,0.02600772686626148,,0.5
600,0.01036602241746411,,0.9
610,0.02600772686626148,,0.5
620,0.01299354119003091,,0.7
630,0.01118062028827606,,0.8
640,0.02600772686626148,,0.5
650,0.01299354119003091,,0.7
660,0.01299354119003091,,0.7
670,0.017028270857005926,,0.6
680,0.01036602241746411,,0.9
690,0.01118062028827606,,0.8
700,0.01118062028827606,,0.8
710,0.01299354119003091,,0.7
720,0.01299354119003091,,0.7
730,0.01299354119003091,,0.7
740,0.017028270857005926,,0.6
750,0.01299354119003091,,0.7
760,0.01299354119003091,,0.7
770,0.01299354119003091,,0.7
780,0.01299354119003091,,0.7
790,0.01299354119003091,,0.7
800,0.01118062028827606,,0.8
810,0.02600772686626148,,0.5
820,0.01,,1.0
830,0.01118062028827606,,0.8
840,0.02600772686626148,,0.5
850,0.01036602241746411,,0.9
860,0.01299354119003091,,0.7
870,0.01036602241746411,,0.9
880,0.01299354119003091,,0.7
890,0.01299354119003091,,0.7
900,0.01118062028827606,,0.8
910,0.01036602241746411,,0.9
920,0.01036602241746411,,0.9
930,0.01118062028827606,,0.8
940,0.01036602241746411,,0.9
950,0.01299354119003091,,0.7
960,0.01118062028827606,,0.8
970,0.01036602241746411,,0.9
980,0.01036602241746411,,0.9
990,0.01299354119003091,,0.7
