episode,epsilon,reward,mean_reward
0,0.0,0.2,
0,0.44609999999999994,,0.3
10,0.5796000000000001,,0.2
20,0.3304,,0.4
30,0.44609999999999994,,0.3
40,0.5796000000000001,,0.2
50,0.5796000000000001,,0.2
60,0.9,,0.0
70,0.5796000000000001,,0.2
80,0.5796000000000001,,0.2
90,0.5796000000000001,,0.2
100,0.15240000000000004,,0.6
110,0.3304,,0.4
120,0.44609999999999994,,0.3
130,0.5796000000000001,,0.2
140,0.5796000000000001,,0.2
150,0.44609999999999994,,0.3
160,0.2325,,0.5
170,0.2325,,0.5
180,0.5796000000000001,,0.2
190,0.15240000000000004,,0.6
200,0.3304,,0.4
210,0.44609999999999994,,0.3
220,0.7309000000000001,,0.1
230,0.15240000000000004,,0.6
240,0.5796000000000001,,0.2
250,0.2325,,0.5
260,0.5796000000000001,,0.2
270,0.3304,,0.4
280,0.44609999999999994,,0.3
290,0.3304,,0.4
300,0.3304,,0.4
310,0.3304,,0.4
320,0.15240000000000004,,0.6
330,0.2325,,0.5
340,0.44609999999999994,,0.3
350,0.04559999999999999,,0.8
360,0.3304,,0.4
370,0.09010000000000001,,0.7
380,0.3304,,0.4
390,0.15240000000000004,,0.6
400,0.04559999999999999,,0.8
410,0.3304,,0.4
420,0.04559999999999999,,0.8
430,0.09010000000000001,,0.7
440,0.09010000000000001,,0.7
450,0.018899999999999997,,0.9
460,0.018899999999999997,,0.9
470,0.018899999999999997,,0.9
480,0.09010000000000001,,0.7
490,0.09010000000000001,,0.7
500,0.04559999999999999,,0.8
510,0.09010000000000001,,0.7
520,0.2325,,0.5
530,0.2325,,0.5
540,0.15240000000000004,,0.6
550,0.09010000000000001,,0.7
560,0.04559999999999999,,0.8
570,0.09010000000000001,,0.7
580,0.2325,,0.5
590,0.04559999999999999,,0.8
600,0.09010000000000001,,0.7
610,0.018899999999999997,,0.9
620,0.04559999999999999,,0.8
630,0.018899999999999997,,0.9
640,0.09010000000000001,,0.7
650,0.01,,1.0
660,0.018899999999999997,,0.9
670,0.2325,,0.5
680,0.04559999999999999,,0.8
690,0.018899999999999997,,0.9
700,0.2325,,0.5
710,0.018899999999999997,,0.9
720,0.04559999999999999,,0.8
730,0.018899999999999997,,0.9
740,0.15240000000000004,,0.6
750,0.04559999999999999,,0.8
760,0.2325,,0.5
770,0.09010000000000001,,0.7
780,0.09010000000000001,,0.7
790,0.01,,1.0
800,0.04559999999999999,,0.8
810,0.09010000000000001,,0.7
820,0.018899999999999997,,0.9
830,0.09010000000000001,,0.7
840,0.018899999999999997,,0.9
850,0.018899999999999997,,0.9
860,0.018899999999999997,,0.9
870,0.04559999999999999,,0.8
880,0.018899999999999997,,0.9
890,0.04559999999999999,,0.8
900,0.018899999999999997,,0.9
910,0.04559999999999999,,0.8
920,0.01,,1.0
930,0.018899999999999997,,0.9
940,0.01,,1.0
950,0.01,,1.0
960,0.018899999999999997,,0.9
970,0.018899999999999997,,0.9
980,0.018899999999999997,,0.9
990,0.018899999999999997,,0.9
