episode,epsilon,mean_reward
0,0.0,
0,0.7908807002611213,0.1
10,0.175924821743624,0.4
20,0.5838421723208989,0.2
30,0.5838421723208989,0.2
40,0.3788637121540117,0.3
50,0.175924821743624,0.4
60,-0.02499479296842,0.5
70,0.5838421723208989,0.2
80,0.3788637121540117,0.3
90,0.3788637121540117,0.3
100,0.5838421723208989,0.2
110,0.3788637121540117,0.3
120,0.5838421723208989,0.2
130,0.3788637121540117,0.3
140,0.175924821743624,0.4
150,0.3788637121540117,0.3
160,0.5838421723208989,0.2
170,0.175924821743624,0.4
180,0.3788637121540117,0.3
190,0.5838421723208989,0.2
200,0.175924821743624,0.4
210,0.175924821743624,0.4
220,0.3788637121540117,0.3
230,0.5838421723208989,0.2
240,0.175924821743624,0.4
250,0.175924821743624,0.4
260,0.7908807002611213,0.1
270,-0.02499479296842,0.5
280,0.3788637121540117,0.3
290,-0.2239152241110267,0.6
300,-0.02499479296842,0.5
310,-0.02499479296842,0.5
320,-0.2239152241110267,0.6
330,0.5838421723208989,0.2
340,-0.2239152241110267,0.6
350,0.5838421723208989,0.2
360,-0.02499479296842,0.5
370,-0.4208563638930769,0.7
380,0.3788637121540117,0.3
390,-0.4208563638930769,0.7
400,0.175924821743624,0.4
410,-0.4208563638930769,0.7
420,-0.6158379065926693,0.8
430,0.5838421723208989,0.2
440,-0.2239152241110267,0.6
450,-0.4208563638930769,0.7
460,-0.2239152241110267,0.6
470,0.175924821743624,0.4
480,-0.6158379065926693,0.8
490,-0.2239152241110267,0.6
500,-0.2239152241110267,0.6
510,0.175924821743624,0.4
520,-0.4208563638930769,0.7
530,-0.2239152241110267,0.6
540,0.175924821743624,0.4
550,-0.8088793505265552,0.9
560,0.175924821743624,0.4
570,-0.8088793505265552,0.9
580,-0.2239152241110267,0.6
590,-0.4208563638930769,0.7
600,-0.02499479296842,0.5
610,-0.4208563638930769,0.7
620,0.3788637121540117,0.3
630,-0.2239152241110267,0.6
640,-0.02499479296842,0.5
650,-0.6158379065926693,0.8
660,-0.02499479296842,0.5
670,0.3788637121540117,0.3
680,-0.8088793505265552,0.9
690,-0.2239152241110267,0.6
700,-0.6158379065926693,0.8
710,-0.6158379065926693,0.8
720,-0.6158379065926693,0.8
730,-0.4208563638930769,0.7
740,-0.4208563638930769,0.7
750,-0.8088793505265552,0.9
760,-0.2239152241110267,0.6
770,-0.8088793505265552,0.9
780,-0.6158379065926693,0.8
790,-0.6158379065926693,0.8
800,-0.4208563638930769,0.7
810,-0.6158379065926693,0.8
820,-0.8088793505265552,0.9
830,-1.0,1.0
840,-0.8088793505265552,0.9
850,-0.8088793505265552,0.9
860,-0.8088793505265552,0.9
870,-0.4208563638930769,0.7
880,-1.0,1.0
890,-0.8088793505265552,0.9
900,-0.2239152241110267,0.6
910,-0.8088793505265552,0.9
920,-0.6158379065926693,0.8
930,-0.2239152241110267,0.6
940,-1.0,1.0
950,-0.6158379065926693,0.8
960,-0.6158379065926693,0.8
970,-0.8088793505265552,0.9
980,-0.6158379065926693,0.8
990,-0.6158379065926693,0.8
