episode,epsilon,mean_reward
0,0.0,
0,0.9975908719013187,0.4
10,0.9991421438379563,0.3
20,0.9999227667180335,0.1
30,0.9975908719013187,0.4
40,0.993374077584958,0.5
50,0.9997128248911116,0.2
60,0.9999227667180335,0.1
70,0.9975908719013187,0.4
80,0.9975908719013187,0.4
90,0.9997128248911116,0.2
100,0.9997128248911116,0.2
110,0.9975908719013187,0.4
120,0.9975908719013187,0.4
130,0.9991421438379563,0.3
140,0.9991421438379563,0.3
150,0.9991421438379563,0.3
160,0.9975908719013187,0.4
170,0.9997128248911116,0.2
180,0.993374077584958,0.5
190,0.9991421438379563,0.3
200,0.9991421438379563,0.3
210,0.993374077584958,0.5
220,0.9975908719013187,0.4
230,0.9819116422204452,0.6
240,0.9975908719013187,0.4
250,0.9819116422204452,0.6
260,0.993374077584958,0.5
270,0.993374077584958,0.5
280,0.993374077584958,0.5
290,0.9975908719013187,0.4
300,0.9975908719013187,0.4
310,0.9819116422204452,0.6
320,0.9975908719013187,0.4
330,0.9507535124592041,0.7
340,0.993374077584958,0.5
350,0.993374077584958,0.5
360,0.993374077584958,0.5
370,0.9975908719013187,0.4
380,0.993374077584958,0.5
390,0.9819116422204452,0.6
400,0.9819116422204452,0.6
410,0.8660569345204534,0.8
420,0.9819116422204452,0.6
430,0.9819116422204452,0.6
440,0.9507535124592041,0.7
450,0.6358277657768817,0.9
460,0.9507535124592041,0.7
470,0.9507535124592041,0.7
480,0.993374077584958,0.5
490,0.993374077584958,0.5
500,0.993374077584958,0.5
510,0.9507535124592041,0.7
520,0.6358277657768817,0.9
530,0.9819116422204452,0.6
540,0.9507535124592041,0.7
550,0.9819116422204452,0.6
560,0.6358277657768817,0.9
570,0.9507535124592041,0.7
580,0.8660569345204534,0.8
590,0.6358277657768817,0.9
600,0.9975908719013187,0.4
610,0.6358277657768817,0.9
620,0.9507535124592041,0.7
630,0.9507535124592041,0.7
640,0.9819116422204452,0.6
650,0.9819116422204452,0.6
660,0.993374077584958,0.5
670,0.9507535124592041,0.7
680,0.6358277657768817,0.9
690,0.6358277657768817,0.9
700,0.9819116422204452,0.6
710,0.9819116422204452,0.6
720,0.8660569345204534,0.8
730,0.9507535124592041,0.7
740,0.9507535124592041,0.7
750,0.9819116422204452,0.6
760,0.6358277657768817,0.9
770,0.01,1.0
780,0.8660569345204534,0.8
790,0.9819116422204452,0.6
800,0.9819116422204452,0.6
810,0.9819116422204452,0.6
820,0.9507535124592041,0.7
830,0.9819116422204452,0.6
840,0.9819116422204452,0.6
850,0.8660569345204534,0.8
860,0.9507535124592041,0.7
870,0.9507535124592041,0.7
880,0.9975908719013187,0.4
890,0.9507535124592041,0.7
900,0.6358277657768817,0.9
910,0.9819116422204452,0.6
920,0.993374077584958,0.5
930,0.8660569345204534,0.8
940,0.6358277657768817,0.9
950,0.9507535124592041,0.7
960,0.9507535124592041,0.7
970,0.8660569345204534,0.8
980,0.9507535124592041,0.7
990,0.8660569345204534,0.8
