episode,epsilon,reward,mean_reward
0,0.0,0.3,
0,0.3817216991062283,,0.3
10,0.5299195944432384,,0.2
20,0.7299658287281285,,0.1
30,0.5299195944432384,,0.2
40,0.5299195944432384,,0.2
50,0.3817216991062283,,0.3
60,0.3817216991062283,,0.3
70,0.27193399797388856,,0.4
80,0.3817216991062283,,0.3
90,0.5299195944432384,,0.2
100,0.27193399797388856,,0.4
110,0.19060126856829268,,0.5
120,0.5299195944432384,,0.2
130,0.5299195944432384,,0.2
140,0.5299195944432384,,0.2
150,0.3817216991062283,,0.3
160,0.7299658287281285,,0.1
170,0.5299195944432384,,0.2
180,0.19060126856829268,,0.5
190,0.08571215239377379,,0.7
200,0.19060126856829268,,0.5
210,0.3817216991062283,,0.3
220,0.27193399797388856,,0.4
230,0.19060126856829268,,0.5
240,0.27193399797388856,,0.4
250,0.3817216991062283,,0.3
260,0.19060126856829268,,0.5
270,0.7299658287281285,,0.1
280,0.27193399797388856,,0.4
290,0.27193399797388856,,0.4
300,0.08571215239377379,,0.7
310,0.27193399797388856,,0.4
320,0.19060126856829268,,0.5
330,0.5299195944432384,,0.2
340,0.19060126856829268,,0.5
350,0.19060126856829268,,0.5
360,0.08571215239377379,,0.7
370,0.13034850068685155,,0.6
380,0.19060126856829268,,0.5
390,0.08571215239377379,,0.7
400,0.19060126856829268,,0.5
410,0.5299195944432384,,0.2
420,0.27193399797388856,,0.4
430,0.08571215239377379,,0.7
440,0.08571215239377379,,0.7
450,0.08571215239377379,,0.7
460,0.19060126856829268,,0.5
470,0.19060126856829268,,0.5
480,0.08571215239377379,,0.7
490,0.13034850068685155,,0.6
500,0.01,,1.0
510,0.13034850068685155,,0.6
520,0.13034850068685155,,0.6
530,0.19060126856829268,,0.5
540,0.13034850068685155,,0.6
550,0.19060126856829268,,0.5
560,0.08571215239377379,,0.7
570,0.08571215239377379,,0.7
580,0.13034850068685155,,0.6
590,0.13034850068685155,,0.6
600,0.13034850068685155,,0.6
610,0.13034850068685155,,0.6
620,0.028147784937579468,,0.9
630,0.13034850068685155,,0.6
640,0.05264473227356636,,0.8
650,0.19060126856829268,,0.5
660,0.05264473227356636,,0.8
670,0.27193399797388856,,0.4
680,0.13034850068685155,,0.6
690,0.08571215239377379,,0.7
700,0.05264473227356636,,0.8
710,0.05264473227356636,,0.8
720,0.028147784937579468,,0.9
730,0.13034850068685155,,0.6
740,0.028147784937579468,,0.9
750,0.13034850068685155,,0.6
760,0.01,,1.0
770,0.08571215239377379,,0.7
780,0.08571215239377379,,0.7
790,0.13034850068685155,,0.6
800,0.05264473227356636,,0.8
810,0.08571215239377379,,0.7
820,0.19060126856829268,,0.5
830,0.08571215239377379,,0.7
840,0.01,,1.0
850,0.08571215239377379,,0.7
860,0.13034850068685155,,0.6
870,0.13034850068685155,,0.6
880,0.05264473227356636,,0.8
890,0.05264473227356636,,0.8
900,0.05264473227356636,,0.8
910,0.01,,1.0
920,0.08571215239377379,,0.7
930,0.08571215239377379,,0.7
940,0.028147784937579468,,0.9
950,0.028147784937579468,,0.9
960,0.01,,1.0
970,0.08571215239377379,,0.7
980,0.05264473227356636,,0.8
990,0.05264473227356636,,0.8
